date,year,title,title-ENG,topics,topics2,analysis,frontend,design,link
2018/3/5,Mar-18,纵观11年奥斯卡导演奖，性别差距是整个好莱坞的缩影,Oscars best director: visualize the Hollywood's gender gap,gender,gender,no,no,yes,https://www.thepaper.cn/newsDetail_forward_2015002
2018/3/14,Mar-18,2017年哪些航空投诉最难解决？民航局数据告诉你,What do people complain most about air travel in 2017?,transportation,other,no,no,no,https://www.thepaper.cn/newsDetail_forward_1994991
2018/4/20,Apr-18,2G退网是趋势，但过程或漫长而复杂,"Chinese companies are shutting 2G networks, slowly",technology,technology,no,no,no,https://www.thepaper.cn/newsDetail_forward_2084941
2018/4/26,Apr-18,中国专利申请全球最多，还有哪些进步空间？,"China wins the first place in global patent race, but not good enough",technology,technology,no,no,yes,https://www.thepaper.cn/newsDetail_forward_2095542
2018/5/7,May-18,国家标准里的隐私保护，这12款常用手机APP做到了吗？,"China issues new rules for mobile apps, and some of the most popular ones failed",technology,technology,no,no,no,https://www.thepaper.cn/newsDetail_forward_2111284
2018/5/22,May-18,这家扩张神速的咖啡店背后，是我们买咖啡的方式变了,Starbucks vs. Luckin Coffee: how they changed the way of purchasing coffee,business,business,no,no,no,https://www.thepaper.cn/newsDetail_forward_2139084
2018/6/4,Jun-18,你最常用的两款应用，欧版隐私政策长什么样？,Privacy policies of WeChat and Alipay: comparison between EU and China versions,technology,technology,no,no,no,https://www.thepaper.cn/newsDetail_forward_2166166
2018/7/10,Jul-18,关于师生恋和性骚扰，英美名校是这么规定的,,gender,gender,no,no,no,https://www.thepaper.cn/newsDetail_forward_2073291
2018/8/17,Aug-18,我们去了相亲角6次，收集了这874份征婚启事,,gender,gender,no,no,no,https://www.thepaper.cn/newsDetail_forward_2351635
2018/8/27,Aug-18,滴滴顺风车出生时的隐患，上线3年了还是没改掉,,business,business,no,no,no,https://www.thepaper.cn/newsDetail_forward_2384030
2018/10/4,Oct-18,这份影响众多动物未来的名录，几乎30年没有更新了,,environment,government and policies,no,no,yes,https://www.thepaper.cn/newsDetail_forward_2499998
2018/10/10,Oct-18,我们用18个行业的平均工资，估算了新个税法对工资单的影响,,government and policies,government and policies,no,no,no,https://www.thepaper.cn/newsDetail_forward_2406595
2018/11/13,Nov-18,五个可视化带你回忆斯坦·李和他的超级英雄们,,culture and entertainment,other,no,no,no,https://www.thepaper.cn/newsDetail_forward_2629862
2018/11/23,Nov-18,“最严”养犬令，你的城市可能十几年前就出台了,,government and policies,government and policies,no,no,no,https://www.thepaper.cn/newsDetail_forward_2664100
2018/11/30,Nov-18,马航调查团队最后一份800页的报告，到底讲了些什么,,business,business,no,no,no,https://www.thepaper.cn/newsDetail_forward_2687034
2019/1/7,Jan-19,新个税法为你省下的钱，超过了全国多少人？,,government and policies,government and policies,no,yes,yes,https://h5.thepaper.cn/html/zt/2019/01/tax/index.html
2019/2/16,Feb-19,当我们群嘲“假博士”时，不要忘了真博士们的艰辛,,education,other,no,no,yes,https://www.thepaper.cn/newsDetail_forward_2996660
2019/3/15,Mar-19,判决书中的微商骗局套路，微商可能比你更容易上当,,business,business,no,no,no,https://www.thepaper.cn/newsDetail_forward_3139674
2019/4/4,Apr-19,信息公开条例已生效11年，对你有用吗？,,government and policies,government and policies,yes,no,no,https://www.thepaper.cn/newsDetail_forward_3248133
2019/4/13,Apr-19,视觉中国起诉的侵权案，为什么胜诉率可高达96%？,,business,business,no,no,no,https://www.thepaper.cn/newsDetail_forward_3293991
2019/5/14,May-19,创下最佳IPO首日表现的人造肉，会成为主流食品吗？,,technology,technology,no,no,yes,https://www.thepaper.cn/newsDetail_forward_3444606
2019/5/17,May-19,IPO定价17美元，瑞幸能让中国人爱上喝咖啡吗？,,business,business,no,no,yes,https://www.thepaper.cn/newsDetail_forward_3375832
2019/6/23,Jun-19,这些热门综艺的美妆赞助，你听过吗？,,business,business,no,no,no,https://www.thepaper.cn/newsDetail_forward_3715850
2019/6/30,Jun-19,如何成为“一流大学”的校友代表？,,education,other,no,no,no,https://www.thepaper.cn/newsDetail_forward_3774868
2019/7/6,Jul-19,中国世界遗产达55处位居世界第一，然而申遗之路并不容易,,culture and entertainment,other,no,no,no,https://www.thepaper.cn/newsDetail_forward_3849119
2019/8/7,Aug-19,深扒1139个灵魂拷问，恋爱这件事有多复杂就有多简单,,gender,gender,yes,no,no,https://h5.thepaper.cn/html/zt/2019/08/love/index.html
2019/8/26,Aug-19,52例快递赔偿诉讼显示，保价也不是万全之策,,business,business,no,no,no,https://www.thepaper.cn/newsDetail_forward_4226188
2019/10/14,Oct-19,有不少人试着破解获得诺奖的配方，从年龄到社交习惯,,culture and entertainment,other,no,no,yes,https://www.thepaper.cn/newsDetail_forward_4636334
2019/10/16,Oct-19,日常的转基因食品，你可能比你想象中接触得多,,technology,technology,no,no,yes,https://www.thepaper.cn/newsDetail_forward_4680148
2019/10/29,Oct-19,校园欺凌地方性政策已在31省份颁布，但内容仍有不足,,government and policies,government and policies,no,no,no,https://www.thepaper.cn/newsDetail_forward_2856757
2020/2/5,Feb-20,763例确诊患者的故事，还原新冠病毒向全国扩散的路径,763 COVID-19 Patients’ Details that Help Explain How the Coronavirus Spread,how virus spread,COVID,yes,no,no,https://www.thepaper.cn/newsDetail_forward_5719018
2020/2/16,Feb-20,回溯45个重点疫区的数据，我们该如何看待当前疫情？,"How COVID-19 cases rise in different cities, visualized",city performance,COVID,yes,no,no,https://www.thepaper.cn/newsDetail_forward_6002409
2020/2/28,Feb-20,从上市餐饮企业看，社保减免能为公司节省多少钱？,We calculated how tax relief policy help business in the time of coronavirus?,business tax cut,COVID,yes,no,no,https://www.thepaper.cn/newsDetail_forward_6185833
2020/3/17,Mar-20,新冠疫苗开始临床试验，为何我们至少还要等待一年？,Why do we need to wait one year for the COVID-19 vaccine?,vaccines,COVID,no,no,no,https://www.thepaper.cn/newsDetail_forward_6537495
2020/3/25,Mar-20,东京奥运会延期一年，损失的不仅是账面上的收入,Tokyo Olympics delay could cost more than money,business,business,yes,no,no,https://www.thepaper.cn/newsDetail_forward_6677963
2020/4/19,Apr-20,化学阉割、案底公示，如何看待这些性侵未成年人的刑罚手段？,"Chemical castration, public records, and other penalties for child sexual abuse",gender,gender,yes,no,no,https://www.thepaper.cn/newsDetail_forward_6886123
2020/6/30,Jun-20,10544条评论告诉你，不能扫码的老人机都是谁在买？,The 10544 customers who buy non-smartphones in 2020,technology,technology,yes,no,no,https://www.thepaper.cn/newsDetail_forward_8052386
2020/7/18,Jul-20,金斯伯格一进医院就上头条，为什么大法官对美国如此重要？,Why is Ruth Bader Ginsburg so curcial to the Americans?,international,other,yes,no,no,https://www.thepaper.cn/newsDetail_forward_8312191
2020/7/30,Jul-20,23家航司宣布破产，上半年洲际航班大多都在运货,"With 23 airlines filing for bankruptcy, the rest are struggling too",business,business,yes,no,no,https://www.thepaper.cn/newsDetail_forward_8505869
2020/8/4,Aug-20,平均每年发生近7起事故的尾矿库是什么？,"Tailings Dam Failure, visual explained",environment,other,yes,no,no,https://www.thepaper.cn/newsDetail_forward_8574672
2020/8/7,Aug-20,“回归潮”可能来了，但今年上市的中概股还真不少,"Chinese companies rush for US IPOs, visualized",business,business,yes,no,yes,https://www.thepaper.cn/newsDetail_forward_8624266
2020/10/14,Oct-20,112款5G手机之后，苹果终于发布了自己的,"Apple unveiled its 5G iPhone, finally",technology,technology,yes,yes,yes,https://www.thepaper.cn/newsDetail_forward_9399213
2020/11/17,Nov-20,国考更喜欢招男生还是招女生？,China's Female Civil Service Applicants Ask: Where Are Our Seats at the Table?,gender,gender,yes,yes,yes,http://www.sixthtone.com/news/1006477/chinas-female-civil-service-applicants-ask-where-are-our-seats-at-the-table;text=
2020/12/25,Dec-20,11699位患者和我们的这一年,What 11699 Cases Tell Us About COVID-19?,how virus spread,COVID,yes,no,no,http://h5.thepaper.cn/html/zt/2020/12/liudiao/index.html
2020/12/27,Dec-20,放弃一个flag，平均需要6天,"Most people give up on their new year's resolution, after six days",psychology,other,yes,yes,yes,https://www.thepaper.cn/newsDetail_forward_10521695